Radius	RhoND	Mass	phi	Temp	Fe	O	Si	Mg	Ni	Ca	Al
0.0	2.366505693266902	0.0	1.7853167936583336	7200.0	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.005	2.3664672603283816	2.958103291879743e-07	1.7852872126254151	7175.132708821233	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.01	2.36635196151282	2.3664134542144537e-06	1.7851984712561408	7150.265417642467	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.015	2.3661597968202166	7.98625627447126e-06	1.7850505747389578	7125.3981264637	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.02	2.3658907662505717	1.8929093896456827e-05	1.7848435317212776	7100.530835284933	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.025	2.3655448698038866	3.6967643737329576e-05	1.7845773543094754	7075.663544106166	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.03	2.3651221074801594	6.387323962846109e-05	1.7842520580688914	7050.7962529274	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.035	2.364622479279391	0.00010141548591898969	1.7838676620238303	7025.928961748633	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.04	2.3640459852015816	0.00015136191157937362	1.783424188657561	7001.061670569867	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.045	2.3633926252467305	0.0002154776243049436	1.7829216639123169	6976.1943793911005	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.05	2.362662399414839	0.000295524964619458	1.7823601171892964	6951.327088212334	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.055	2.361855307705905	0.00039326315997865454	1.7817395813486616	6926.459797033567	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.06	2.3609713501199305	0.0005104479788738033	1.7810600927095397	6901.592505854801	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.065	2.3600105266569145	0.0006488313849352625	1.7803216910500212	6876.725214676035	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.07	2.3589728373168573	0.0008101611910360277	1.7795244196071631	6851.857923497268	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.07499999999999997	2.3578582820997593	0.0009961807133952922	1.7786683250769848	6826.990632318501	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.08	2.356666861005619	0.0012086284256819892	1.7777534576144716	6802.123341139735	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.085	2.3553985740344383	0.0014492376131183544	1.7767798708335725	6777.256049960968	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.08999999999999997	2.354053421186216	0.0017197360265834786	1.7757476218072012	6752.388758782201	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.095	2.352631402460952	0.0020218455367168584	1.7746567710672358	6727.521467603435	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.1	2.351132517858648	0.0023572817880219503	1.7735073826045196	6702.654176424669	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.105	2.3495567673793007	0.0027277538529697177	1.7722995238688588	6677.786885245901	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.11	2.347904151022913	0.0031349638861022	1.771033265769025	6652.919594067135	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.115	2.3461746687894847	0.003580606778136042	1.7697086826727553	6628.052302888368	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.12	2.344368320679015	0.0040663698100660865	1.768325852406749	6603.185011709602	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.125	2.342485106691504	0.004593932307268873	1.766884856256672	6578.317720530835	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.13	2.340525026826952	0.005164965293606242	1.7653857789671532	6553.450429352069	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.135	2.338488081085357	0.005781131145528857	1.7638287087417863	6528.583138173302	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.14	2.3363742694667224	0.006444083246179764	1.76221373724313	6503.715846994536	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.145	2.3341835919710463	0.00715546563949797	1.7605409595927073	6478.848555815769	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.15	2.331916048598329	0.007916912684321934	1.7588104743710051	6453.981264637002	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.155	2.3295716393485693	0.008730048708493202	1.7570223836174756	6429.113973458236	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.16	2.3271503642217697	0.009596487662959912	1.7551767928305348	6404.2466822794695	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.165	2.324652223217928	0.010517832775880344	1.7532738109675634	6379.379391100702	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.17	2.3220772163370453	0.011495676206726457	1.7513135504449069	6354.512099921935	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.17500000000000002	2.319425343579121	0.012531598700387529	1.7492961271378742	6329.644808743169	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.18	2.316696604944156	0.013627169241273608	1.7472216603807398	6304.777517564403	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.185	2.3138910004321493	0.014783944707419144	1.7450902729667428	6279.910226385636	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.19	2.3110085300431016	0.016003469524586464	1.7429020911480857	6255.042935206869	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.195	2.2053860108875174	0.01724172059415903	1.7406602396869686	6230.175644028102	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.2	2.2023866447400966	0.018531191393775216	1.7383684622765236	6205.308352849336	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.205	2.1993308215129668	0.019885124945806958	1.7360273285523182	6180.44106167057	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.21	2.1962175711005645	0.021304485442714318	1.7336366570202286	6155.573770491803	0.855	0.0	0.06	0.0	0.052	0.0	0.0
