Mw	Cnd
2	2.1785247501376646e-14
2.2820512820512828	2.9999506314524377e-14
2.8461538461538467	5.2158938593801482e-14
3.4102564102564106	8.3613915395048924e-14
3.9743589743589745	1.2668453561452867e-13
4.5384615384615383	1.8413331662151347e-13
5.1025641025641022	2.5924271598747416e-13
5.666666666666667	3.5590736367268865e-13
6.2307692307692308	4.787442932263047e-13
6.7948717948717947	6.332253301768154e-13
7.3589743589743595	8.2583693566041625e-13
7.9230769230769234	1.0642742429879808e-12
8.4871794871794872	1.3576769437304387e-12
9.0512820512820511	1.7169241422348869e-12
9.615384615384615	2.1549930049690706e-12
10.179487179487179	2.6874101967470006e-12
10.743589743589745	3.3328184897587611e-12
11.307692307692308	4.1136996522270981e-12
11.871794871794872	5.0572912377509577e-12
12.435897435897436	6.1967701139566777e-12
13	7.5729080777284088e-12
13.564102564102564	9.236102387724235e-12
14.128205128205128	1.1249182727060529e-11
14.692307692307692	1.369109502237421e-11
15.256410256410255	1.6662871690244656e-11
15.820512820512821	2.0295127959219678e-11
16.384615384615383	2.4757838312690682e-11
16.948717948717949	3.0280607868418822e-11
17.512820512820511	3.717318120961783e-11
18.076923076923077	4.5873037354606979e-11
18.641025641025642	5.7006087838866583e-11
19.205128205128204	7.151330589642338e-11
19.76923076923077	9.0852888782635064e-11
20.333333333333332	1.1743530520706076e-10
20.897435897435898	1.5547908858845875e-10
21.46153846153846	2.124435760681513e-10
22.025641025641026	3.0044067603764132e-10
22.589743589743591	4.1324307846585726e-10
23.153846153846153	2.4217152455438082e-10
24	0
100	0

