Mw	Cnd
2	6.3849307831961468e-14
2.3333333333333339	9.4071406618376296e-14
3	1.8190633388562572e-13
3.6666666666666679	3.1721557156214984e-13
4.3333333333333339	5.1621995851386719e-13
5	7.9937059603404398e-13
5.6666666666666679	1.192297061732874e-12
6.3333333333333339	1.7269601083695613e-12
7	2.4430560986420534e-12
7.666666666666667	3.3897329200613444e-12
8.3333333333333339	4.6276934490822746e-12
9	6.2317841341038714e-12
9.6666666666666679	8.2941949052050463e-12
10.333333333333334	1.0928434896948693e-11
11	1.4274300625601572e-11
11.666666666666668	1.8504124329241077e-11
12.333333333333334	2.3830689186053325e-11
13	3.0517336638599784e-11
13.666666666666666	3.8890988521985472e-11
14.333333333333334	4.9359091861260037e-11
15	6.2431914053822773e-11
15.666666666666666	7.8752233797017035e-11
16.333333333333332	9.9135427808540559e-11
17	1.2462445036522581e-10
17.666666666666668	1.5656652822943366e-10
18.333333333333332	1.9672222194353559e-10
19	2.4742408295157015e-10
19.666666666666664	3.1181332199241995e-10
20.333333333333332	3.9420348826516318e-10
21	5.0065846669118926e-10
21.666666666666664	6.3994939150399201e-10
22.333333333333332	8.2522218503348126e-10
23	1.0770659592691829e-09
23.666666666666664	1.4296377986225732e-09
24.333333333333332	1.9439624402425476e-09
25	2.7401816886089633e-09
25.666666666666664	4.0799502443336596e-09
26.333333333333332	6.4332834556316605e-09
27	6.0381492349485162e-09
28	0
100	0

