Mw	Cnd
2	1.9881286720127286e-14
2.3333333333333339	2.8026412931481502e-14
3	4.9685308020778697e-14
3.6666666666666679	7.9581462438287208e-14
4.3333333333333339	1.1916353960812151e-13
5	1.7007912001092935e-13
5.6666666666666679	2.3420474596283245e-13
6.3333333333333339	3.1368163694684919e-13
7	4.1095841694062349e-13
7.666666666666667	5.2884268412176624e-13
8.3333333333333339	6.7056307931663393e-13
9	8.3978756119071638e-13
9.6666666666666679	1.0408119645368192e-12
10.333333333333334	1.2785751527475475e-12
11	1.5590431303340653e-12
11.666666666666668	1.8891648396297223e-12
12.333333333333334	2.2769440468862932e-12
13	2.7318414858302542e-12
13.666666666666666	3.2648736075291281e-12
14.333333333333334	3.8889581611222295e-12
15	4.6219067601372234e-12
15.666666666666666	5.4850601511326269e-12
16.333333333333332	6.5022583393223399e-12
17	7.7027027509368623e-12
17.666666666666668	9.1273373590449916e-12
18.333333333333332	1.0829100681203903e-11
19	1.2869606650345618e-11
19.666666666666664	1.5332691864042439e-11
20.333333333333332	1.8346972826887991e-11
21	2.2059919673267766e-11
21.666666666666664	2.6690647153173024e-11
22.333333333333332	3.258480310260745e-11
23	4.0170370163672434e-11
23.666666666666664	5.013331339626027e-11
24.333333333333332	6.338958264602005e-11
25	8.0699628074754349e-11
25.666666666666664	1.0042041012728172e-10
26.333333333333332	1.0533039056995393e-10
27	3.133330111148959e-11
28	0
100	0

