Mass	Radius	phi	Temp	Rho	Pres	Lumi	H1	He4	He3	C12	C13	N14	N15	O16	O17	O18	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni
0.0	0.0	5.00252241689701	15440000.0	148.9	2.299e+17	0.0	0.3623	0.6217600000000001	9.201e-06	8.386e-06	1.907e-06	0.004062	8.275000000000001e-08	0.006399	0.00037160000000000003	1.64e-05	0.001483	3.657e-05	0.0007035	6.203e-05	0.0007763	7.121e-06	0.00038689999999999997	5.143e-06	7.789e-05	4.015e-06	6.675e-05	4.3090000000000004e-08	3.323e-06	3.9689999999999996e-07	1.939e-05	1.417e-05	0.001344	3.732e-06	7.946e-05
1e-07	0.0005	5.00242241689701	15440000.0	148.9	2.299e+17	0.0	0.3623	0.6217600000000001	9.201e-06	8.386e-06	1.907e-06	0.004062	8.275000000000001e-08	0.006399	0.00037160000000000003	1.64e-05	0.001483	3.657e-05	0.0007035	6.203e-05	0.0007763	7.121e-06	0.00038689999999999997	5.143e-06	7.789e-05	4.015e-06	6.675e-05	4.3090000000000004e-08	3.323e-06	3.9689999999999996e-07	1.939e-05	1.417e-05	0.001344	3.732e-06	7.946e-05
2e-07	0.001	5.002272416897011	15440000.0	148.9	2.299e+17	0.0	0.36232	0.62174	9.202000000000001e-06	8.384e-06	1.906e-06	0.004061	8.273e-08	0.006398	0.0003714	1.639e-05	0.001483	3.654e-05	0.0007030000000000001	6.199e-05	0.0007757999999999999	7.116e-06	0.0003866	5.138999999999999e-06	7.783e-05	4.013e-06	6.671e-05	4.306e-08	3.321e-06	3.966e-07	1.937e-05	1.416e-05	0.001344	3.7289999999999998e-06	7.941e-05
4e-07	0.0015	5.002177972452566	15440000.0	148.9	2.299e+17	0.0	0.36235	0.62171	9.205e-06	8.386e-06	1.906e-06	0.004062	8.275000000000001e-08	0.006399	0.0003713	1.64e-05	0.001483	3.656e-05	0.0007032999999999999	6.202e-05	0.0007762	7.12e-06	0.0003868	5.142e-06	7.787e-05	4.014e-06	6.674e-05	4.308e-08	3.323e-06	3.968e-07	1.938e-05	1.417e-05	0.001344	3.7310000000000004e-06	7.944e-05
8e-07	0.002	5.0020835280081215	15440000.0	148.9	2.299e+17	1e-05	0.36239	0.62166	9.209e-06	8.388e-06	1.907e-06	0.004063000000000001	8.277999999999999e-08	0.006402	0.00037119999999999997	1.641e-05	0.001484	3.659e-05	0.0007038999999999999	6.207e-05	0.0007768	7.125e-06	0.00038710000000000003	5.146e-06	7.793e-05	4.018e-06	6.679e-05	4.311e-08	3.325e-06	3.9710000000000003e-07	1.94e-05	1.418e-05	0.0013449999999999998	3.7339999999999997e-06	7.951e-05
1.7e-06	0.0025	5.001965528008122	15440000.0	148.8	2.299e+17	1e-05	0.36245	0.6216	9.214e-06	8.389e-06	1.907e-06	0.004064	8.279999999999999e-08	0.006404000000000001	0.00037089999999999996	1.641e-05	0.001484	3.66e-05	0.0007042000000000001	6.209e-05	0.0007771	7.127999999999999e-06	0.00038730000000000004	5.148e-06	7.796e-05	4.019e-06	6.682e-05	4.3129999999999996e-08	3.327e-06	3.972e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.735e-06	7.954e-05
2.8999999999999998e-06	0.003	5.001816972452566	15440000.0	148.8	2.298e+17	2e-05	0.36252	0.62152	9.221e-06	8.389e-06	1.907e-06	0.004065	8.281000000000001e-08	0.006406	0.0003705	1.641e-05	0.001485	3.661e-05	0.0007042999999999999	6.21e-05	0.0007772	7.129e-06	0.00038730000000000004	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.327e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.955e-05
4.5e-06	0.0035	5.001644580162317	15440000.0	148.8	2.298e+17	4e-05	0.36261	0.62143	9.227999999999999e-06	8.389e-06	1.907e-06	0.004065	8.282e-08	0.0064069999999999995	0.0003701	1.642e-05	0.001485	3.661e-05	0.0007042999999999999	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.798e-05	4.02e-06	6.683e-05	4.314e-08	3.328e-06	3.973e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
6.8e-06	0.004	5.001446493427623	15430000.0	148.7	2.297e+17	5.9999999999999995e-05	0.36272	0.62132	9.237e-06	8.388e-06	1.907e-06	0.004065	8.282e-08	0.006408	0.0003695	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.7360000000000003e-06	7.956e-05
9.6e-06	0.0045	5.001221724909104	15430000.0	148.7	2.296e+17	8e-05	0.36284	0.6212	9.248e-06	8.387000000000001e-06	1.907e-06	0.004065	8.283e-08	0.006409000000000001	0.00036889999999999997	1.642e-05	0.001485	3.661e-05	0.0007044	6.211e-05	0.0007773	7.13e-06	0.0003874	5.149e-06	7.799e-05	4.02e-06	6.684e-05	4.314e-08	3.328e-06	3.974e-07	1.941e-05	1.419e-05	0.0013460000000000002	3.737e-06	7.956e-05
